Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_04/original/batch04_contract_154.sol,Slither,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_155.sol,Slither,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_156.sol,Mythril,"Osiris, Oyente",-,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_157.sol,-,"Osiris, Oyente",Mythril,Mythril,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_158.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_159.sol,-,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_160.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_161.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_162.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_163.sol,-,-,-,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_164.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_165.sol,-,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_166.sol,-,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_167.sol,"Mythril, Osiris, Slither","Osiris, Oyente",Mythril,-,"Osiris, Oyente",-,"Mythril, Slither",-,-
contracts/batch_04/original/batch04_contract_168.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_169.sol,Mythril,"Osiris, Oyente",Mythril,Mythril,-,-,-,"Mythril, Oyente, Slither",Slither
contracts/batch_04/original/batch04_contract_170.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_171.sol,-,-,-,-,-,-,Slither,-,-
contracts/batch_04/original/batch04_contract_172.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_173.sol,-,"Mythril, Osiris",-,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contracts/batch_04/original/batch04_contract_174.sol,Slither,"Mythril, Osiris",-,Mythril,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_175.sol,-,-,Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_176.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_177.sol,-,"Mythril, Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_178.sol,"Mythril, Slither","Mythril, Osiris, Oyente",Mythril,Mythril,"Osiris, Oyente",-,Mythril,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_180.sol,"Mythril, Slither",-,Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_181.sol,-,Oyente,Mythril,Mythril,-,-,-,-,-
